ID,SiteFK,Circle,Orientation,Code,Species,IsConifer
2786,78,4,D,DCD,"American beech",0
2782,78,-3,E,IHX,"American beech",0
2779,78,3,B,DBW,"American beech",0
2706,2,3,D,EJK,"American beech",0
2703,2,3,A,EJH,"Birch spp.",0
2700,2,2,C,EJO,"Paper birch",0
2697,2,1,E,EJV,"American hornbeam",0
3176,93,1,B,DRD,Blackgum,0
3683,104,2,B,EEJ,"White mulberry",0
3680,109,4,C,EKN,N/A,0
3677,109,3,E,EKK,N/A,0
3674,109,3,B,EKH,N/A,0
3670,109,2,C,EKD,N/A,0
3663,109,1,A,EJW,N/A,0
3681,109,4,D,EKO,N/A,0
3678,109,4,A,EKL,N/A,0
3675,109,3,C,EKI,N/A,0
3672,109,2,E,EKF,N/A,0
3671,109,2,D,EKE,N/A,0
3647,77,9,A,DAR,Boxelder,0
3646,108,2,E,EJF,N/A,0
3645,108,2,D,EJE,N/A,0
3644,108,2,C,EJD,N/A,0
3643,108,2,B,EJC,N/A,0
3642,108,2,A,EJB,N/A,0
3641,108,1,E,EJA,N/A,0
3640,108,1,D,EIZ,N/A,0
3639,108,1,C,EIY,N/A,0
3638,108,1,B,EIX,N/A,0
3637,108,1,A,EIW,N/A,0
3635,77,8,C,DAO,"American hornbeam",0
3634,107,5,E,EIT,Chokecherry,0
3633,107,5,D,EIS,"Sugar maple",0
3632,107,5,C,EIR,"Hop hornbeam",0
3631,107,5,B,EIQ,"Blue beech",0
3630,107,5,A,EIP,"Hop hornbeam",0
3629,107,4,E,EIO,"Hop hornbeam",0
3628,107,4,D,EIN,"Trembling aspen",0
3627,107,4,C,EIM,"Hop hornbeam",0
3626,107,4,B,EIL,"Dogwood spp.",0
3625,107,4,A,EIK,"Sugar maple",0
3624,107,3,E,EIJ,"Sugar maple",0
3623,107,3,D,EII,"Common buckthorn",0
3622,107,3,C,EIH,"Sugar maple",0
3621,107,3,B,EIG,"Hop hornbeam",0
3620,107,3,A,EIF,"Hop hornbeam",0
3619,107,2,E,EIE,"Sugar maple",0
3618,107,2,D,EID,"Pin cherry",0
3617,107,2,C,EIC,"Hop hornbeam",0
3616,107,2,B,EIB,"Sugar maple",0
3615,107,2,A,EIA,"Sugar maple",0
3614,107,1,E,EHZ,"Hop hornbeam",0
3613,107,1,D,EHY,"Yellow birch",0
3612,107,1,C,EHX,"Sugar maple",0
3611,107,1,B,EHW,"Sugar maple",0
3610,107,1,A,EHV,"Blue beech",0
703,111,1,A,AAA,N/A,0
3558,105,6,E,EFV,N/A,0
3557,105,6,D,EFU,N/A,0
3556,105,6,C,EFT,N/A,0
3555,105,6,B,EFS,N/A,0
3554,105,6,A,EFR,N/A,0
3553,105,5,E,EFQ,N/A,0
3552,105,5,D,EFP,N/A,0
3551,105,5,C,EFO,N/A,0
3550,105,5,B,EFN,N/A,0
3549,105,5,A,EFM,N/A,0
3548,105,4,E,EFL,N/A,0
3547,105,4,D,EFK,N/A,0
3546,105,4,C,EFJ,N/A,0
3545,105,4,B,EFI,N/A,0
3544,105,4,A,EFH,N/A,0
3543,105,3,E,EFG,N/A,0
3542,105,3,D,EFF,N/A,0
3541,105,3,C,EFE,N/A,0
3540,105,3,B,EFD,N/A,0
3539,105,3,A,EFC,N/A,0
3538,105,2,E,EFB,N/A,0
3537,105,2,D,EFA,N/A,0
3536,105,2,C,EEZ,N/A,0
3535,105,2,B,EEY,N/A,0
3534,105,2,A,EEX,N/A,0
3533,105,1,E,EEW,N/A,0
3532,105,1,D,EEV,N/A,0
3531,105,1,C,EEU,N/A,0
3530,105,1,B,EET,N/A,0
3529,105,1,A,EES,N/A,0
3528,104,3,E,EER,"Japanese maple",0
3527,104,3,D,EEQ,"Honey suckle",0
3526,104,3,C,EEP,Hydrangeas,0
3525,104,3,B,EEO,Rhododendron,0
3524,104,3,A,EEN,"Weeping cherry",0
3523,104,2,E,EEM,Buckthorn,0
3522,104,2,D,EEL,"Serviceberry spp.",0
3521,104,2,C,EEK,"Hackberry spp.",0
3520,104,-2,B,EKQ,"White mulberry",0
3519,104,2,A,EEI,Buckthorn,0
3518,104,1,E,EEH,"White mulberry",0
3517,104,1,D,EEG,Lilac,0
3516,104,1,C,EEF,"Hackberry spp.",0
3515,104,1,B,EEE,"White mulberry",0
3514,104,1,A,EED,"White mulberry",0
3513,103,3,E,EEC,N/A,0
3512,103,3,D,EEB,N/A,0
3511,103,3,C,EEA,N/A,0
3510,103,3,B,EDZ,N/A,0
3509,103,3,A,EDY,N/A,0
3508,103,2,E,EDX,N/A,0
3507,103,2,D,EDW,N/A,0
3506,103,2,C,EDV,N/A,0
3505,103,2,B,EDU,N/A,0
3504,103,2,A,EDT,N/A,0
3503,103,1,E,EDS,N/A,0
3502,103,1,D,EDR,N/A,0
3501,103,1,C,EDQ,N/A,0
3500,103,1,B,EDP,N/A,0
3499,103,1,A,EDO,N/A,0
3498,97,5,D,DWC,"Black cherry",0
3494,97,4,A,DVU,"Black cherry",0
3493,102,5,E,EDI,N/A,0
3492,102,5,D,EDH,N/A,0
3491,102,5,C,EDG,N/A,0
3490,102,5,B,EDF,N/A,0
3489,102,5,A,EDE,N/A,0
3488,102,4,E,EDD,N/A,0
3487,102,4,D,EDC,N/A,0
3486,102,4,C,EDB,N/A,0
3485,102,4,B,EDA,N/A,0
3484,102,4,A,ECZ,N/A,0
3483,102,3,E,ECY,N/A,0
3482,102,3,D,ECX,N/A,0
3481,102,3,C,ECW,N/A,0
3480,102,3,B,ECV,N/A,0
3479,102,3,A,ECU,N/A,0
3478,102,2,E,ECT,N/A,0
3477,102,2,D,ECS,N/A,0
3476,102,2,C,ECR,N/A,0
3475,102,2,B,ECQ,N/A,0
3474,102,2,A,ECP,N/A,0
3473,102,1,E,ECO,N/A,0
3472,102,1,D,ECN,N/A,0
